,IDs,Title,Abstract
0,2-s2.0-85127375931,MR volumetry in detection of brain atrophic changes in MS patients and its implication on disease prognosis: retrospective study,"<p>Background: Multiple sclerosis is a chronic demyelinating disease of the central nervous system. It may lead to disability and cognitive impairment. Our study aimed at evaluation of the role of MR volumetry technique in detection of brain atrophic changes in patients with multiple sclerosis and its impact on disease prognosis. Results: This study was carried out on thirty healthy control with mean age 26.23 years and thirty patients with remitting relapsing multiple sclerosis, with a mean age of 28.18 years. Patients with multiple sclerosis were distributed across six subgroups based on the z-score cut-off of − 1.96 for regional and whole brain atrophy. We found that 2 patients (6.6%) showed no thalamic or brain atrophy, 28 patients (93.3%) showed whole brain atrophy only and 10 patients (33.3%) showed both, thalamic and BP atrophy. No patients showed only thalamic atrohy, 4 patients showed whole brain atrophy with other structure atrophy rather than thalamus (13.3%), 10 patients with whole brain and more than one structure atrophy (33.3%). Relation between subgroups and degree of increase in the Expanded Disability Status Scale (EDSS) as well as presence of cognitive decline were assessed. No significant relation were found between RRMS patients subgroups with whole brain atrophy, subgroup with isolated thalamic atrophy or subgroup with multiple structure atrophy and increase of EDSS or cognitive decline. Conclusion: We found that MRI volumetry is a very useful technique in the assessment of the atrophic changes that occur as a consequence of multiple sclerosis affecting the whole brain, deep grey matter as well as corpus callosum. Although our study did not prove significant relation between presence of brain atrophic changes and disability or cognitive impairment, presence of atrophy warrants careful clinical evaluation of those patients to detect any possible further progression of disability or cognitive decline. © 2022, The Author(s).</p>"
1,2-s2.0-85124238043,Neuroradiological differentiation of white matter lesions in patients with multiple sclerosis and Fabry disease,"<p>Objective: White matter lesions (WML) in multiple sclerosis (MS) differ from vascular WML caused by Fabry disease (FD). However, in atypical cases the discrimination can be difficult and may vary between individual raters. The aim of this study was to evaluate interrater reliability of WML differentiation between MS and FD patients. Materials and methods: Brain MRI scans of 21 patients with genetically confirmed FD were compared to 21 matched patients with MS. Pseudonymized axial FLAIR sequences were assessed by 6 blinded raters and attributed to either the MS or the FD group to investigate interrater reliability. Additionally, localization of WML was compared between the two groups. Results: The median age of patients was 46 years (IQR 35–58). Interrater reliability was moderate with a Fleiss' Kappa of 0.45 (95%CI 0.3–0.59). Overall, 85% of all ratings in the MS group and 75% in the FD group were correct. However, only 38% of patients with MS and 33% of patients with FD were correctly identified by all 6 raters. WML involving the corpus callosum (p &lt; 0.001) as well as juxtacortical (p &lt; 0.001) and infratentorial lesions (p = 0.03) were more frequently observed in MS patients. Conclusion: Interrater reliability regarding visual differentiation of WML in MS from vascular WML in FD on standard axial FLAIR images alone is only moderate, despite the distinctive features of lesions in each group. © 2022, The Author(s).</p>"
2,2-s2.0-85125650520,Ceramide kinase knockout ameliorates multiple sclerosis-like behaviors and demyelination in cuprizone-treated mice,"<p>Changes in sphingolipid metabolism regulate and/or alter many cellular functions in the brain. Ceramide, a central molecule of sphingolipid metabolism, is phosphorylated to ceramide-1-phosphate (C1P) by ceramide kinase (CerK). CerK and C1P were reported to regulate many cellular responses, but their roles in immune-related diseases in vivo have not been well elucidated. Thus, we investigated the effects of CerK knockout on the onset/progression of multiple sclerosis (MS), which is a chronic neurodegenerative disease accompanied by the loss of myelin sheaths in the brain. MS-model mice were prepared using a diet containing the copper chelator cuprizone (CPZ). Treatment of 8-week-old mice with 0.2% CPZ for 8 weeks resulted in motor dysfunction based on the Rota-rod test, and caused the loss of myelin-related proteins (MRPs) in the brain and demyelination in the corpus callosum without affecting synaptophysin levels. CerK knockout, which did not affect developmental changes in MRPs, ameliorated the motor dysfunction, loss of MRPs, and demyelination in the brain in CPZ-treated mice. Loss of tail tonus, another marker of motor dysfunction, was detected at 1 week without demyelination after CPZ treatment in a CerK knockout-independent manner. CPZ-induced loss of tail tonus progressed, specifically in female mice, to 6–8 weeks, and the loss was ameliorated by CerK knockout. Activities of ceramide metabolic enzymes including CerK in the lysates of the brain were not affected by CPZ treatment. Inhibition of CerK as a candidate for MS treatment was discussed. © 2022</p>"
3,2-s2.0-85124555237,Expanding the phenotype of HNRNPU-related neurodevelopmental disorder with emphasis on seizure phenotype and review of literature,"<p>Pathogenic variants in heterogeneous nuclear ribonucleoprotein U (HNRNPU) results in a novel neurodevelopmental disorder recently delineated. Here, we report on 17 previously unpublished patients carrying HNRNPU pathogenic variants. All patients were found to harbor de novo loss-of-function variants except for one individual where the inheritance could not be determined, as a parent was unavailable for testing. All patients had seizures which started in early childhood, global developmental delay, intellectual disability, and dysmorphic features. In addition, hypotonia, behavioral abnormalities (such as autistic features, aggression, anxiety, and obsessive–compulsive behaviors), and cardiac (septal defects) and/or brain abnormalities (ventriculomegaly and corpus callosum thinning/agenesis) were frequently observed. We have noted four recurrent variants in the literature (c.1089G&gt;A p.(Trp363*), c.706_707del p.(Glu236Thrfs*6), c.847_857del p.(Phe283Serfs*5), and c.1681dels p.(Gln561Serfs*45)). © 2022 The Authors. American Journal of Medical Genetics Part A published by Wiley Periodicals LLC.</p>"
4,2-s2.0-85116499252,"Correlations between hippocampal functional connectivity, structural changes, and clinical data in patients with relapsing-remitting multiple sclerosis: A case-control study using multimodal magnetic resonance imaging","<p>Multiple sclerosis is associated with structural and functional brain alterations leading to cognitive impairments across multiple domains including attention, memory, and the speed of information processing. The hippocampus, which is a brain important structure involved in memory, undergoes microstructural changes in the early stage of multiple sclerosis. In this study, we analyzed hippocampal function and structure in patients with relapsing-remitting multiple sclerosis and explored correlations between the functional connectivity of the hippocampus to the whole brain, changes in local brain function and microstructure, and cognitive function at rest. We retrospectively analyzed data from 20 relapsing-remitting multiple sclerosis patients admitted to the Department of Neurology at the China-Japan Union Hospital of Jilin University, China, from April 2015 to November 2019. Sixteen healthy volunteers were recruited as the healthy control group. All participants were evaluated using a scale of extended disability status and the Montreal cognitive assessment within 1 week before and after head diffusion tensor imaging and functional magnetic resonance imaging. Compared with the healthy control group, the patients with relapsing-remitting multiple sclerosis had lower Montreal cognitive assessment scores and regions of simultaneously enhanced and attenuated whole-brain functional connectivity and local functional connectivity in the bilateral hippocampus. Hippocampal diffusion tensor imaging data showed that, compared with the healthy control group, patients with relapsing-remitting multiple sclerosis had lower hippocampal fractional anisotropy values and higher mean diffusivity values, suggesting abnormal hippocampal structure. The left hippocampus whole-brain functional connectivity was negatively correlated with the Montreal cognitive assessment score (r =-0.698, P = 0.025), and whole-brain functional connectivity of the right hippocampus was negatively correlated with extended disability status scale score (r =-0.649, P = 0.042). The mean diffusivity value of the left hippocampus was negatively correlated with the Montreal cognitive assessment score (r =-0.729, P = 0.017) and positively correlated with the extended disability status scale score (r = 0.653, P = 0.041). The right hippocampal mean diffusivity value was positively correlated with the extended disability status scale score (r = 0.684, P = 0.029). These data suggest that the functional connectivity and presence of structural abnormalities in the hippocampus in patients with relapse-remission multiple sclerosis are correlated with the degree of cognitive function and extent of disability. This study was approved by the Ethics Committee of China-Japan Union Hospital of Jilin University, China (approval No. 201702202) on February 22, 2017. © 2022 Wolters Kluwer Medknow Publications. All rights reserved.</p>"
5,2-s2.0-85123731842,Abnormal oxidative metabolism in the cuprizone mouse model of demyelination: An in vivo NIRS-MRI study,"<p>Disruptions in oxidative metabolism may occur in multiple sclerosis and other demyelinating neurological diseases. The impact of demyelination on metabolic rate is also not understood. It is possible that mitochondrial damage may be associated with many such neurological disorders. To study oxidative metabolism with one model of demyelination, we implemented a novel multimodal imaging technique combining Near-Infrared Spectroscopy (NIRS) and MRI to cuprizone mouse model. The cuprizone model is used to study demyelination and may be associated with inhibition of mitochondrial function. Cuprizone mice showed reduced oxygen extraction fraction (−39.1%, p ≤ 0.001), increased tissue oxygenation (6.4%, p ≤ 0.001), and reduced cerebral metabolic rate of oxygen in cortical gray matter (−62.1%, p ≤ 0.001). These changes resolved after the cessation of cuprizone exposure and partial remyelination. A decrease in hemoglobin concentration (−34.4%, p ≤ 0.001), but no change in cerebral blood flow were also observed during demyelination. The oxidized state of the mitochondrial enzyme, Cytochrome C Oxidase (CCO) increased (46.3%, p ≤ 0.001) while the reduced state decreased (−34.4%, p ≤ 0.05) significantly in cuprizone mice. The total amount of CCO did not change significantly during cuprizone exposure. Total CCO did decline after recovery both in control (−23.1%, p ≤ 0.01) and cuprizone (−28.8%, p ≤ 0.001) groups which may relate to age. A reduction in the magnetization transfer ratio, indicating demyelination, was found in the cuprizone group in the cerebral cortex (−3.2%, p ≤ 0.01) and corpus callosum (−5.5%, p ≤ 0.001). In summary, we were able to detect evidence of altered CCO metabolism during cuprizone exposure, consistent with a mitochondrial defect. We observed increased oxygenation and reduced metabolic rate associated with reduced myelination in the gray and white matter. The novel multimodal imaging technique applied here shows promise for noninvasively assessing parameters associated with oxidative metabolism in both mouse models of neurological disease and for translation to study oxidative metabolism in the human brain. © 2022</p>"
6,2-s2.0-85126910627,Development of a Chemical Cocktail That Rescues Mouse Brain Demyelination in a Cuprizone-Induced Model,"<p>Oligodendrocytes are glial cells located in the central nervous system (CNS) that play essential roles in the transmission of nerve signals and in the neuroprotection of myelinated neurons. The dysfunction or loss of oligodendrocytes leads to demyelinating diseases such as multiple sclerosis (MS). To treat demyelinating diseases, the development of a therapy that promotes remyelination is required. In the present study, we established an in vitro method to convert human fibroblasts into induced oligodendrocyte-like cells (iOLCs) in 3 days. The induced cells displayed morphologies and molecular signatures similar to oligodendrocytes after treatment with valproic acid and exposure to the small molecules Y27632, SU9516, and forskolin (FSK). To pursue the development of a cell-free remyelination therapy in vivo, we used a cuprizone-induced demyelinated mouse model. The small molecules (Y27632, SU9516, and FSK) were directly injected into the demyelinated corpus callosum of the mouse brain. This combination of small molecules rescued the demyelination phenotype within two weeks as observed by light and electron microscopy. These results provide a foundation for exploring the development of a treatment for demyelinating diseases via regenerative medicine. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.</p>"
7,2-s2.0-85124043337,Locomotor and histological changes in a cuprizone-induced animal model of multiple sclerosis: Comparison between alpha-tocopherol and fingolimod,"<p>Background and purpose: Fingolimod is a sphingosine 1-phosphate receptor modulator used to treat multiple sclerosis (MS). Alpha-tocopherol (AT) has been found to improve motor function in an animal model of MS. In the present study, the effects of AT and fingolimod on the locomotor function and histological evidence of demyelination were compared in a cuprizone-induced rat model of MS. Experimental approach: Female Sprague-Dawley rats (8 weeks) were fed with 0.2% (w/w) cuprizone diet for 5 weeks followed by intraperitoneal injections of fingolimod (3 mg/Kg; group F, n = 10) and alpha- tocopherol (100 mg/Kg; group A, n = 10). Vehicle-treated rats (group V, n = 10) were treated intraperitoneally with 1% ethanol in saline on weeks 6 and 7. Open field and beam walking tests were carried out every 10 days. The mean area of demyelination in the corpus callosum was quantified using Luxol fast blue stained histological sections of the forebrain. Findings/Results: The mean speed of movement was increased by 54% and 50% in groups F and A compared to group V. Total distance moved was increased by 61% and 52.7% in groups F and A compared to group V. Mean time to walk the beam was reduced in group A by 52% compared to group V. Mean frequency of crossing lines from the inner squares to outer squares was reduced in groups A and F compared to group V. Mean area of demyelination in corpus callosum showed 62% reduction in group A compared to group V. Conclusion and implications: Both fingolimod and AT treatments improved the locomotor function. However, AT treatment reduced the areas of demyelination in higher proportion and improved motor coordination and exploratory behavior. © 2022 Wolters Kluwer Medknow Publications. All rights reserved.</p>"
8,2-s2.0-85118626969,Adult-onset vanishing white matter in a patient with EIF2B3 variants misdiagnosed as multiple sclerosis,"<p>Background: Vanishing white matter (VWM) is an autosomal recessive disorder characterized by childhood ataxia with central hypomyelination. Adult-onset VWM should be considered as a differential diagnosis for suspected cases of multiple sclerosis (MS). Methods: Targeted region sequencing (TRS) and Sanger sequencing validation were performed to identify and validate the likely pathogenic mutations in a family with VWM. Results: The main clinical manifestations of the proband included decreased vision and sleepiness accompanied by atrophy of the corpus callosum, affected inner rim of the corpus callosum, decreased apparent diffusion coefficient value or persistent hyperintensity-diffusion-weighted imaging, atrophied optic nerve, and no recordable visual evoked potentials. Due to the slow development and atypical VWM image features, MS was initially suspected. After prednisone was administered, the patient’s condition did not improve significantly, and other diseases were considered. The TRS and Sanger sequencing identified compound heterozygous mutations of EIF2B3 in the proband; c.965C &gt; G /p.Ala322Gly in exon 8 and c.130G &gt; A/p.Glu44Lys in exon 2 were missense mutations inherited from the mother and father, respectively. The proband’s oldest brother had the same compound heterozygous mutations but showed no symptoms. Conclusion: This is the first report of adult-onset VWM in a Chinese family. Initially, MS was suspected, and genetic testing confirmed the diagnosis of VWM. This study may further broaden the clinical spectrum of EIF2B3, thus providing a foundation for further research on the pathogenesis and genetic therapy for VWM. © 2021, Fondazione Società Italiana di Neurologia.</p>"
9,2-s2.0-85112643233,An in vivo implementation of the MEX MRI for myelin fraction of mice brain,"<p>Objective: Magnetization EXchange (MEX) sequence measures a signal linearly dependent on the myelin proton fraction by selective suppression of water magnetization and a recovery period. Varying the recovery period enables extraction of the percentile fraction of myelin bound protons. We aim to demonstrate the MEX sequence sensitivity to the fraction of protons associated with myelin in mice brain, in vivo. Methods: The cuprizone mouse model was used to manipulate the myelin content. Mice fed cuprizone (n = 15) and normal chow (n = 8) were imaged in vivo using MEX sequence. MR images were segmented into corpus callosum and internal capsule (white matter) and cortical gray matter, and fitted to the recovery equation. Results were analyzed with correlation to MWF and histopathology. Results: The extracted parameters show significant differences in the corpus callosum between the cuprizone and control groups. The cuprizone group exhibited reduced myelin fraction 26.5% (P &lt; 0.01). The gray matter values were less affected, with 13.5% reduction (P &lt; 0.05); no changes were detected in the internal capsule. Results were validated by MWF scans and good correlation to the histology analysis (R<sup>2</sup> = 0.685). Conclusion: The results of this first in vivo implementation of the MEX sequence provide a quantitative measure of demyelination in brain white matter. © 2021, European Society for Magnetic Resonance in Medicine and Biology (ESMRMB).</p>"
